PixelX,PixelY,RobotX,RobotY,,,
81,47,80,60,,,
134,47,80,200,,,47
188,46,80,340,,,112
241,46,80,480,,,179
295,47,80,620,,,247
348,49,80,760,,,315
402,48,80,915,,,384
80,112,220,60,,,452
134,112,220,200,,,523
187,112,220,340,,,591
240,112,220,480,,,661
295,113,220,620,,,730
348,113,220,760,,,
402,114,220,915,,,
80,179,360,60,,,
132,179,360,200,,,
187,179,360,340,,,
241,179,360,480,,,
295,179,360,620,,,
348,180,360,760,,,
403,180,360,915,,,
80,247,500,60,,,
134,246,500,200,,,
187,247,500,340,,,
242,248,500,480,,,
295,248,500,620,,,
349,248,500,760,,,
403,248,500,915,,,
80,315,640,60,,,
134,315,640,200,,,
187,315,640,340,,,
242,315,640,480,,,
295,316,640,620,,,
349,316,640,760,,,
404,316,640,915,,,
79,384,780,60,,,
133,383,780,200,,,
188,383,780,340,,,
242,384,780,480,,,
295,384,780,620,,,
349,385,780,760,,,
404,384,780,915,,,
80,452,920,60,,,
134,452,920,200,,,
188,452,920,340,,,
242,452,920,480,,,
296,454,920,620,,,
350,454,920,760,,,
405,455,920,915,,,
80,521,1060,60,,,
134,521,1060,200,,,
188,521,1060,340,,,
243,521,1060,480,,,
296,521,1060,620,,,
350,523,1060,760,,,
405,524,1060,915,,,
80,589,1200,60,,,
134,590,1200,200,,,
188,590,1200,340,,,
242,591,1200,480,,,
297,592,1200,620,,,
350,592,1200,760,,,
405,592,1200,915,,,
79,659,1340,60,,,
134,659,1340,200,,,
188,659,1340,340,,,
242,660,1340,480,,,
296,661,1340,620,,,
351,661,1340,760,,,
405,662,1340,915,,,
79,728,1480,60,,,
133,728,1480,200,,,
188,729,1480,340,,,
242,729,1480,480,,,
296,730,1480,620,,,
350,731,1480,760,,,
405,731,1480,915,,,
